poly cost,gaus cost,sigm cost
0.0876903,0.0645529,0.0637661
0.0876242,0.0645215,0.0637384
0.0875584,0.0644901,0.0637107
0.0874926,0.0644588,0.0636831
0.0874271,0.0644276,0.0636555
0.0873617,0.0643964,0.0636281
0.0872965,0.0643654,0.0636007
0.0872314,0.0643344,0.0635734
0.0871665,0.0643036,0.0635461
0.0871017,0.0642728,0.063519
0.0870371,0.0642421,0.0634919
0.0869727,0.0642115,0.0634649
0.0869084,0.0641809,0.063438
0.0868443,0.0641505,0.0634111
0.0867803,0.0641201,0.0633843
0.0867165,0.0640899,0.0633576
0.0866528,0.0640597,0.063331
0.0865893,0.0640296,0.0633044
0.0865259,0.0639995,0.0632779
0.0864627,0.0639696,0.0632515
0.0863997,0.0639397,0.0632251
0.0863368,0.0639099,0.0631989
0.086274,0.0638802,0.0631726
0.0862114,0.0638506,0.0631465
0.0861489,0.0638211,0.0631204
0.0860866,0.0637916,0.0630944
0.0860245,0.0637622,0.0630685
0.0859625,0.0637329,0.0630427
0.0859006,0.0637037,0.0630169
0.0858389,0.0636746,0.0629912
0.0857773,0.0636455,0.0629655
0.0857159,0.0636165,0.0629399
0.0856546,0.0635876,0.0629144
0.0855934,0.0635588,0.062889
0.0855324,0.06353,0.0628636
0.0854716,0.0635014,0.0628383
0.0854109,0.0634728,0.062813
0.0853503,0.0634442,0.0627879
0.0852899,0.0634158,0.0627627
0.0852296,0.0633874,0.0627377
0.0851695,0.0633591,0.0627127
0.0851095,0.0633309,0.0626878
0.0850496,0.0633028,0.062663
0.0849899,0.0632747,0.0626382
0.0849303,0.0632467,0.0626135
0.0848708,0.0632188,0.0625888
0.0848115,0.0631909,0.0625642
0.0847523,0.0631631,0.0625397
0.0846933,0.0631354,0.0625153
0.0846344,0.0631078,0.0624909
0.0845756,0.0630802,0.0624665
0.084517,0.0630528,0.0624423
0.0844585,0.0630253,0.0624181
0.0844001,0.062998,0.0623939
0.0843419,0.0629707,0.0623698
0.0842838,0.0629435,0.0623458
0.0842258,0.0629164,0.0623219
0.084168,0.0628893,0.062298
0.0841103,0.0628623,0.0622742
0.0840527,0.0628354,0.0622504
0.0839953,0.0628086,0.0622267
0.083938,0.0627818,0.062203
0.0838808,0.0627551,0.0621795
0.0838237,0.0627284,0.0621559
0.0837668,0.0627019,0.0621325
0.08371,0.0626754,0.0621091
0.0836533,0.0626489,0.0620857
0.0835968,0.0626225,0.0620624
0.0835404,0.0625962,0.0620392
0.0834841,0.06257,0.062016
0.0834279,0.0625438,0.0619929
0.0833719,0.0625177,0.0619699
0.083316,0.0624917,0.0619469
0.0832602,0.0624657,0.061924
0.0832045,0.0624398,0.0619011
0.083149,0.062414,0.0618783
0.0830936,0.0623882,0.0618555
0.0830383,0.0623625,0.0618328
0.0829831,0.0623369,0.0618102
0.0829281,0.0623113,0.0617876
0.0828732,0.0622858,0.061765
0.0828184,0.0622603,0.0617426
0.0827637,0.062235,0.0617201
0.0827091,0.0622096,0.0616978
0.0826547,0.0621844,0.0616755
0.0826003,0.0621592,0.0616532
0.0825461,0.062134,0.061631
0.082492,0.062109,0.0616089
0.0824381,0.062084,0.0615868
0.0823842,0.062059,0.0615648
0.0823305,0.0620341,0.0615428
0.0822769,0.0620093,0.0615209
0.0822234,0.0619846,0.061499
0.08217,0.0619599,0.0614772
0.0821167,0.0619352,0.0614554
0.0820636,0.0619107,0.0614337
0.0820105,0.0618861,0.0614121
0.0819576,0.0618617,0.0613905
0.0819048,0.0618373,0.0613689
0.0818521,0.061813,0.0613474
0.0817995,0.0617887,0.061326
0.0817471,0.0617645,0.0613046
0.0816947,0.0617403,0.0612833
0.0816425,0.0617162,0.061262
0.0815903,0.0616922,0.0612407
0.0815383,0.0616682,0.0612196
0.0814864,0.0616443,0.0611984
0.0814346,0.0616204,0.0611774
0.0813829,0.0615966,0.0611563
0.0813314,0.0615729,0.0611354
0.0812799,0.0615492,0.0611144
0.0812285,0.0615256,0.0610936
0.0811773,0.061502,0.0610727
0.0811261,0.0614785,0.061052
0.0810751,0.061455,0.0610312
0.0810242,0.0614316,0.0610106
0.0809734,0.0614083,0.0609899
0.0809227,0.061385,0.0609694
0.0808721,0.0613617,0.0609488
0.0808216,0.0613385,0.0609284
0.0807712,0.0613154,0.0609079
0.0807209,0.0612924,0.0608876
0.0806707,0.0612693,0.0608672
0.0806206,0.0612464,0.060847
0.0805707,0.0612235,0.0608267
0.0805208,0.0612006,0.0608065
0.080471,0.0611778,0.0607864
0.0804214,0.0611551,0.0607663
0.0803718,0.0611324,0.0607463
0.0803224,0.0611098,0.0607263
0.080273,0.0610872,0.0607063
0.0802238,0.0610647,0.0606864
0.0801746,0.0610422,0.0606666
0.0801256,0.0610198,0.0606468
0.0800766,0.0609974,0.060627
0.0800278,0.0609751,0.0606073
0.0799791,0.0609528,0.0605876
0.0799304,0.0609306,0.060568
0.0798819,0.0609085,0.0605484
0.0798334,0.0608863,0.0605289
0.0797851,0.0608643,0.0605094
0.0797369,0.0608423,0.06049
0.0796887,0.0608203,0.0604706
0.0796407,0.0607984,0.0604512
0.0795927,0.0607766,0.0604319
0.0795449,0.0607548,0.0604127
0.0794971,0.060733,0.0603935
0.0794495,0.0607113,0.0603743
0.0794019,0.0606897,0.0603552
0.0793544,0.0606681,0.0603361
0.0793071,0.0606465,0.0603171
0.0792598,0.060625,0.0602981
0.0792126,0.0606036,0.0602791
0.0791655,0.0605822,0.0602602
0.0791185,0.0605609,0.0602414
0.0790717,0.0605395,0.0602226
0.0790249,0.0605183,0.0602038
0.0789782,0.0604971,0.0601851
0.0789315,0.0604759,0.0601664
0.078885,0.0604548,0.0601477
0.0788386,0.0604338,0.0601291
0.0787923,0.0604128,0.0601106
0.078746,0.0603918,0.060092
0.0786999,0.0603709,0.0600736
0.0786538,0.06035,0.0600551
0.0786079,0.0603292,0.0600367
